"COVENTRY (WHITLEY PUMPING STATION)",,,,,,,,,,,,
Grid ref,SP349771,Long,-1.488589,Lat,52.390818,,,,,,,
Station no,2465,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.78,2.17,3.76,1.16,2.80,3.31,4.33,,
February,,,,2.69,2.09,1.12,3.01,3.29,0.08,2.36,,
March,,,,2.38,2.71,0.78,2.33,1.74,1.88,1.55,,
April,,,,0.43,1.03,0.73,0.25,0.86,2.70,0.61,,
May,,,,2.26,4.87,0.56,1.38,2.19,0.60,1.54,,
June,,,2.21,2.62,3.15,2.56,1.76,3.65,0.77,2.85,,
July,,,3.01,3.37,0.77,2.78,4.09,4.66,1.17,3.70,,
August,,,2.96,3.66,2.02,4.78,2.06,2.15,1.46,2.64,,
September,,,1.71,1.89,1.47,1.67,4.15,3.10,0.03,4.11,,
October,,,2.73,3.36,1.37,1.97,1.21,2.55,2.40,4.63,,
November,,,1.15,5.87,1.96,0.66,1.39,1.96,2.98,3.39,,
December,,,0.81,1.17,2.07,2.80,2.23,2.61,3.39,3.42,,
Total,,,,30.48,25.68,24.17,25.02,31.56,20.77,35.13,,
Calc annual,0.00,0.00,14.58,30.48,25.68,24.17,25.02,31.56,20.77,35.13,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
