"CLOUGHMILLS (ALTNAHINCH)",,,,,,,,,,,,
Grid ref,ID117234,Long,-6.253047,Lat,55.045625,,,,,,,
Station no,6229/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,-999.00,4.81,7.42,7.69,6.10,5.65,,
February,,,,,,2.05,4.40,7.06,1.88,7.18,,
March,,,,,,2.28,4.45,3.43,4.30,2.30,,
April,,,,,,1.97,2.01,2.96,4.50,3.65,,
May,,,,,,2.25,1.97,4.72,1.65,3.31,,
June,,,,,-999.00,4.25,3.50,5.20,2.30,4.30,,
July,,,,,0.28,5.42,7.57,5.45,5.25,8.15,,
August,,,,,1.25,7.90,4.45,4.99,1.70,4.95,,
September,,,,,6.78,4.35,7.43,4.80,1.83,3.55,,
October,,,,,4.97,4.35,4.93,4.09,5.45,7.25,,
November,,,,,3.06,3.69,3.01,3.05,7.55,5.40,,
December,,,,,5.30,7.92,6.70,6.80,9.35,4.95,,
Total,,,,,-999.00,51.24,57.84,60.24,51.86,60.61,,
Calc annual,0.00,0.00,0.00,0.00,21.64,51.24,57.84,60.24,51.86,60.64,,
Difference,NaN,NaN,NaN,NaN,-1020.64,0.00,0.00,0.00,0.00,-0.03,,
