"PENRITH (BARTON HOUSE)",,,,,,,,,,,,
Grid ref,NY483252,Long,-2.802148,Lat,54.619286,,,,,,,
Station no,3691,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.91,4.13,0.94,3.29,2.73,3.07,5.36,,,,,
February,5.42,0.82,1.12,3.44,1.65,0.77,4.15,,,,,
March,4.05,1.71,0.53,3.42,1.17,1.86,2.29,,,,,
April,2.40,2.62,3.15,0.86,1.24,0.91,0.25,,,,,
May,1.33,2.46,2.56,4.30,3.67,1.36,2.26,,,,,
June,1.06,2.19,2.36,3.02,2.40,2.79,0.94,,,,,
July,2.75,2.04,3.66,2.53,1.45,3.75,3.20,,,,,
August,3.73,5.29,4.83,4.50,2.46,7.32,4.82,,,,,
September,4.51,3.82,5.68,6.20,2.58,3.95,4.18,,,,,
October,0.79,5.64,2.88,8.88,3.03,2.60,4.13,,,,,
November,10.87,1.98,4.32,10.49,2.77,1.54,1.32,,,,,
December,8.05,3.85,2.27,4.86,5.28,5.61,3.60,,,,,
Total,48.87,36.55,34.30,55.79,30.43,35.53,36.50,,,,,
Calc annual,48.87,36.55,34.30,55.79,30.43,35.53,36.50,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
