"MORETON MORRELL",,,,,,,,,,,,
Grid ref,SP306553,Long,-1.553745,Lat,52.195093,,,,,,,
Station no,2443/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,0.99,2.24,3.59,1.22,2.63,3.49,4.02,,
February,,,,2.61,1.37,0.58,2.24,3.03,0.07,1.55,,
March,,,,1.80,1.85,0.76,1.93,1.09,2.27,0.98,,
April,,,,0.49,0.78,0.73,0.24,0.51,3.01,0.83,,
May,,,,3.11,4.29,0.68,1.35,2.37,0.50,1.17,,
June,,,,2.73,2.64,2.16,1.12,4.39,0.63,2.72,,
July,,,,2.65,0.32,1.98,3.45,2.57,1.27,3.69,,
August,,,,3.54,0.18,5.18,2.46,3.67,0.72,4.23,,
September,,,,2.14,1.46,2.31,3.25,3.65,0.11,3.87,,
October,,,,2.77,1.34,1.37,1.15,2.33,2.25,4.01,,
November,,,,4.95,1.11,0.66,1.41,2.29,2.15,3.22,,
December,,,,1.79,1.59,2.97,2.31,2.38,3.64,2.47,,
Total,,,,29.57,19.17,22.97,22.13,30.91,20.11,32.76,,
Calc annual,0.00,0.00,0.00,29.57,19.17,22.97,22.13,30.91,20.11,32.76,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
