"NEW MILTON (ASHLEY COUNTY SCHOOL)",,,,,,,,,,,,
Grid ref,SZ254951,Long,-1.641289,Lat,50.754946,,,,,,,
Station no,633/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,2.01,1.02,2.19,3.42,4.56,2.75,4.75,2.90,4.17,,
February,5.68,0.70,1.52,3.61,2.12,0.32,3.95,2.79,0.34,2.78,,
March,4.42,2.81,0.41,3.89,1.09,0.69,2.07,1.90,3.32,2.11,,
April,2.45,2.14,1.59,0.20,0.43,1.17,0.14,0.63,2.44,1.91,,
May,2.50,2.41,1.92,1.58,4.05,0.47,1.09,2.55,1.31,1.87,,
June,1.07,1.07,1.81,2.82,3.03,2.01,1.85,3.72,0.71,3.22,,
July,2.11,0.22,3.40,3.66,1.25,3.30,3.52,2.36,1.88,4.47,,
August,5.93,4.05,1.84,2.99,1.10,4.16,2.63,4.57,2.76,4.12,,
September,2.94,4.21,3.85,2.63,1.48,3.76,3.50,5.30,0.23,6.60,,
October,1.44,3.78,3.37,3.39,4.09,1.44,2.73,3.36,3.53,9.34,,
November,8.92,4.72,2.06,4.79,2.16,0.64,2.36,3.20,3.59,6.10,,
December,2.85,3.52,0.80,2.26,5.16,3.84,2.18,4.81,6.98,4.26,,
Total,43.70,31.64,23.59,34.01,29.38,26.36,28.77,39.94,29.99,50.95,,
Calc annual,43.70,31.64,23.59,34.01,29.38,26.36,28.77,39.94,29.99,50.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
