"OLDHAM (GLODWICK)",,,,,,,,,,,,
Grid ref,SD939046,Long,-2.093511,Lat,53.538012,,,,,,,
Station no,2842/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.24,,
February,,,,,,,,,,2.27,,
March,,,,,,,,,,0.81,,
April,,,,,,,,,,2.42,,
May,,,,,,,,,,1.79,,
June,,,,,,,,,,2.19,,
July,,,,,,,,,,7.25,,
August,,,,,,,,,,6.84,,
September,,,,,,,,,,3.38,,
October,,,,,,,,,,4.61,,
November,,,,,,,,,,5.77,,
December,,,,,,,,,,4.52,,
Total,,,,,,,,,,47.09,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.09,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
