"ARMADALE (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NS938693,Long,-3.700256,Lat,55.905052,,,,,,,
Station no,5152/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.40,2.75,1.27,3.80,2.20,2.05,5.41,3.44,1.49,3.79,,
February,2.25,0.91,1.52,2.51,2.45,1.50,3.55,2.36,1.60,3.18,,
March,3.69,1.93,0.88,2.15,1.60,2.21,3.10,1.69,1.61,1.75,,
April,3.47,1.59,2.46,1.62,1.08,0.46,2.15,1.87,2.51,2.70,,
May,2.22,1.33,2.71,4.65,3.25,2.18,1.86,3.79,1.03,1.82,,
June,3.03,2.95,2.03,2.19,1.74,3.14,2.10,3.68,2.32,1.21,,
July,5.90,2.89,5.51,2.84,1.21,4.47,3.68,6.69,4.90,2.51,,
August,4.13,4.78,3.26,6.79,1.28,6.08,4.24,5.46,0.82,3.06,,
September,2.12,2.60,3.31,3.89,2.38,3.65,2.19,4.12,0.91,2.29,,
October,0.77,3.20,2.22,8.06,2.08,2.42,3.73,2.66,3.83,3.52,,
November,5.39,2.50,6.18,4.83,1.36,1.13,2.41,1.57,6.99,3.96,,
December,5.67,3.32,4.07,5.19,5.06,4.18,4.49,5.44,4.98,4.04,,
Total,43.04,30.75,35.42,48.52,25.69,33.47,38.91,42.77,32.99,33.83,,
Calc annual,43.04,30.75,35.42,48.52,25.69,33.47,38.91,42.77,32.99,33.83,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
