"BAMFORD (YORKSHIRE BRIDGE WEIR)",,,,,,,,,,,,
Grid ref,SK198850,Long,-1.703944,Lat,53.361508,,,,,,,
Station no,2690,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.01,5.19,1.93,4.60,2.69,7.71,2.88,4.34,4.40,6.25,,
February,5.42,1.51,2.49,3.02,2.86,1.44,2.95,7.08,0.25,2.48,,
March,5.76,2.04,2.77,2.66,4.43,1.86,3.34,2.82,2.02,2.54,,
April,2.15,2.92,3.29,0.70,1.49,2.12,0.33,1.15,3.71,2.10,,
May,2.97,3.03,2.40,3.39,4.95,0.64,1.32,3.50,1.33,1.95,,
June,1.35,2.03,3.03,2.57,3.46,3.66,1.61,4.30,1.96,1.25,,
July,1.70,1.86,3.78,3.90,1.64,7.21,3.54,6.22,2.47,4.80,,
August,4.41,2.32,4.29,6.22,0.70,6.58,7.38,4.39,0.54,3.53,,
September,2.33,5.23,2.17,4.61,1.79,4.50,6.71,4.10,0.05,4.38,,
October,0.94,7.53,2.22,5.38,3.37,2.82,3.03,3.58,2.87,6.65,,
November,12.74,3.55,2.65,6.86,2.56,1.86,2.72,1.03,4.82,5.42,,
December,6.04,4.07,1.78,7.28,5.56,4.86,4.72,5.48,6.21,4.85,,
Total,49.82,41.28,32.80,51.19,35.50,45.25,40.53,47.99,30.63,46.20,,
Calc annual,49.82,41.28,32.80,51.19,35.50,45.26,40.53,47.99,30.63,46.20,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,,
