"BANBRIDGE",,,,,,,,,,,,
Grid ref,IJ122457,Long,-6.275091,Lat,54.347771,,,,,,,
Station no,6207/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.00,3.48,1.00,2.22,3.22,2.18,4.61,3.50,1.95,,,
February,3.20,0.46,0.91,3.75,3.02,1.33,2.06,3.73,1.24,,,
March,2.26,1.12,0.10,3.22,1.18,2.00,3.14,0.73,2.90,,,
April,1.57,1.78,1.26,0.48,1.95,1.63,1.56,1.72,2.48,,,
May,1.86,0.97,1.33,4.87,2.60,0.91,2.70,2.62,2.44,,,
June,2.32,2.68,1.92,1.95,3.96,2.39,1.20,5.94,2.36,,,
July,4.00,1.21,4.41,3.28,1.89,4.10,3.81,3.03,4.73,,,
August,3.59,4.94,3.90,2.83,2.21,6.80,4.31,4.17,1.00,,,
September,2.35,1.29,2.70,4.02,3.37,2.91,4.48,4.63,1.80,,,
October,0.63,3.30,1.46,5.32,2.22,2.07,3.54,2.94,4.37,,,
November,5.62,2.74,3.18,5.72,1.92,1.56,1.26,1.71,3.65,,,
December,3.39,3.16,3.09,4.56,4.51,3.21,4.45,4.15,5.43,,,
Total,33.79,27.13,25.26,42.22,32.05,31.09,37.12,38.87,34.35,,,
Calc annual,33.79,27.13,25.26,42.22,32.05,31.09,37.12,38.87,34.35,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
