"LIBERTON (HAWKHEAD GROVE)",,,,,,,,,,,,
Grid ref,NT272695,Long,-3.166226,Lat,55.913066,,,,,,,
Station no,5135/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.86,2.96,0.44,2.90,1.76,1.64,3.22,1.54,-999.00,2.80,,
February,2.35,0.40,0.76,1.64,1.54,1.82,2.95,1.95,-999.00,2.10,,
March,2.80,1.29,0.49,1.44,2.30,1.13,1.62,2.02,-999.00,1.36,,
April,2.62,1.42,2.34,1.20,0.51,0.75,0.71,2.02,,0.80,,
May,3.57,1.77,1.85,5.06,2.01,0.65,1.56,2.16,,1.26,,
June,1.57,2.87,1.48,2.43,0.71,2.65,1.13,3.37,,1.60,,
July,3.64,2.17,4.00,1.62,1.81,4.13,5.02,6.87,,2.68,,
August,5.94,4.24,1.95,5.98,1.02,7.51,2.91,2.86,,3.72,,
September,1.11,2.13,2.85,3.67,1.43,4.04,1.52,2.10,,1.18,,
October,0.52,1.58,1.52,6.10,1.68,1.84,1.98,1.80,,,,
November,4.68,2.22,3.45,3.18,0.72,2.20,2.42,1.58,,,,
December,1.98,3.00,3.76,3.28,4.88,2.84,2.55,4.16,,,,
Total,33.64,26.05,24.89,38.50,20.37,31.20,27.59,32.43,,,,
Calc annual,33.64,26.05,24.89,38.50,20.37,31.20,27.59,32.43,0.00,17.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
