"LIVERPOOL (RATHBONE RD)",,,,,,,,,,,,
Grid ref,SJ391907,Long,-2.917603,Lat,53.409582,,,,,,,
Station no,2816,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,3.85,1.29,3.37,2.11,4.07,1.41,2.43,2.65,4.57,,
February,2.79,0.94,1.10,2.81,2.14,0.42,1.78,4.69,0.24,1.46,,
March,4.75,1.89,1.15,2.14,1.86,1.42,2.14,1.49,1.23,1.68,,
April,1.29,2.07,2.37,0.82,1.89,2.87,0.43,0.79,2.89,1.02,,
May,3.02,1.93,2.09,3.06,2.92,1.06,1.52,2.51,1.95,2.39,,
June,1.24,2.27,1.55,3.63,3.38,2.39,1.47,4.36,2.76,1.10,,
July,1.74,1.73,3.31,4.21,0.90,5.00,4.30,4.08,3.37,3.65,,
August,4.78,1.85,3.71,5.07,1.65,8.92,4.06,3.10,1.10,4.01,,
September,2.45,3.60,3.31,3.55,2.84,2.55,5.88,4.43,0.21,3.28,,
October,0.94,4.28,1.51,6.18,2.46,2.37,3.47,2.92,3.17,3.69,,
November,7.06,2.92,2.77,5.62,1.53,1.29,1.22,1.83,4.17,5.39,,
December,4.87,3.14,1.38,4.20,3.43,2.29,3.22,4.26,4.67,2.94,,
Total,37.47,30.47,25.54,44.66,27.11,34.65,30.90,36.89,28.41,35.18,,
Calc annual,37.47,30.47,25.54,44.66,27.11,34.65,30.90,36.89,28.41,35.18,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
