"GREENOCK WW (NEW YETTS DAM)",,,,,,,,,,,,
Grid ref,NS264738,Long,-4.780069,Lat,55.925846,,,,,,,
Station no,5313,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.95,8.28,4.81,8.72,5.39,4.66,9.62,8.77,2.11,5.29,,
February,4.22,2.96,3.85,7.60,4.45,2.23,4.87,4.84,2.81,6.79,,
March,4.87,5.39,2.07,5.02,2.55,3.75,7.45,2.05,4.20,4.01,,
April,4.01,3.29,3.14,3.74,5.00,2.28,3.61,2.79,5.12,7.70,,
May,2.59,2.35,3.71,4.09,4.98,4.46,2.98,4.95,1.54,3.48,,
June,2.68,4.85,1.44,5.21,4.17,3.73,2.90,4.62,3.98,3.97,,
July,4.11,3.66,7.47,4.58,1.08,6.17,6.79,7.70,7.73,6.33,,
August,4.96,6.45,6.35,6.55,1.47,6.36,5.58,5.54,2.00,4.59,,
September,6.16,4.85,9.25,9.98,6.64,5.72,4.80,5.67,1.95,4.48,,
October,2.04,8.04,6.14,12.20,6.38,4.32,7.64,6.24,7.46,4.65,,
November,9.41,2.24,12.71,10.95,3.70,3.23,3.10,2.90,7.37,9.77,,
December,10.49,7.60,8.00,9.96,10.73,11.09,9.58,8.08,11.20,7.78,,
Total,62.49,59.96,68.94,88.60,56.54,58.00,68.92,64.15,57.47,68.84,,
Calc annual,62.49,59.96,68.94,88.60,56.54,58.00,68.92,64.15,57.47,68.84,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
