"FORTINGALL (GLENLYON HOUSE)",,,,,,,,,,,,
Grid ref,NN735472,Long,-4.062022,Lat,56.599576,,,,,,,
Station no,5558,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.03,2.38,1.68,5.48,2.53,4.92,7.26,3.26,,,,
February,4.00,0.75,2.16,4.29,3.35,1.78,4.68,2.71,,,,
March,2.20,3.25,2.02,3.59,1.52,4.09,4.18,1.84,,,,
April,5.24,1.50,2.10,1.53,1.54,1.34,1.88,1.90,,,,
May,1.10,3.15,1.49,5.23,3.24,2.91,2.01,3.91,,,,
June,2.75,4.00,2.32,2.57,1.48,2.86,0.71,4.11,,,,
July,2.25,2.37,3.73,2.29,1.20,4.42,3.17,4.27,,,,
August,5.17,4.35,2.07,4.06,1.32,5.73,5.90,,,,,
September,2.88,2.08,4.96,5.23,3.75,6.26,2.87,,,,,
October,1.66,5.12,2.43,8.63,3.29,3.92,4.13,,,,,
November,7.70,2.27,6.50,7.73,1.95,2.14,1.55,,,,,
December,6.31,3.83,6.30,9.40,8.96,8.15,8.55,,,,,
Total,46.29,35.05,37.76,60.03,34.13,48.52,46.89,,,,,
Calc annual,46.29,35.05,37.76,60.03,34.13,48.52,46.89,22.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
