"TULLOCH (ALLT LAIRE)",,,,,,,,,,,,
Grid ref,NN328776,Long,-4.744005,Lat,56.859620,,,,,,,
Station no,5735,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.35,5.41,5.35,5.50,6.05,7.60,17.40,11.10,6.00,8.65,,
February,3.20,3.35,5.07,3.90,6.50,5.00,6.85,4.50,4.60,8.03,,
March,3.20,5.66,2.33,4.66,1.50,4.70,6.85,2.20,7.45,1.25,,
April,5.56,3.63,4.65,4.20,4.90,3.65,3.30,4.30,6.25,8.04,,
May,0.37,2.59,6.06,5.06,3.30,7.18,1.60,6.07,1.85,3.01,,
June,2.45,3.96,1.38,3.00,2.70,4.12,2.85,2.65,5.35,3.30,,
July,3.17,2.67,6.17,2.86,1.25,6.40,6.85,3.85,6.20,3.00,,
August,4.65,4.15,5.22,3.30,2.30,6.60,5.60,5.60,4.70,5.10,,
September,3.88,4.61,6.19,9.80,7.08,8.25,4.20,6.40,1.60,3.35,,
October,1.89,8.50,4.87,10.42,7.60,7.30,9.25,9.45,10.10,2.55,,
November,6.40,3.05,12.65,11.90,2.60,6.05,1.90,2.65,10.03,7.25,,
December,10.05,7.45,8.74,12.00,14.20,16.45,12.75,7.05,13.80,9.45,,
Total,52.17,55.03,68.68,76.60,59.98,83.30,79.40,65.82,77.93,62.98,,
Calc annual,52.17,55.03,68.68,76.60,59.98,83.30,79.40,65.82,77.93,62.98,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
