"MENSTRIE (LIPNEY FILTERS)",,,,,,,,,,,,
Grid ref,NS847973,Long,-3.857771,Lat,56.154396,,,,,,,
Station no,5460/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.22,2.11,1.08,3.60,1.93,2.22,5.53,2.84,1.32,2.65,,
February,2.78,0.67,0.91,3.27,1.88,1.73,3.30,1.42,0.81,2.28,,
March,2.64,2.97,1.31,3.10,1.20,2.30,3.20,1.22,2.24,2.42,,
April,2.65,1.41,2.01,1.23,1.15,0.70,1.41,1.17,2.98,2.79,,
May,1.25,1.73,1.73,5.96,2.60,1.55,1.91,2.94,1.57,2.91,,
June,2.25,2.34,1.76,2.21,1.45,4.06,2.26,2.95,1.42,1.81,,
July,4.21,2.54,4.32,2.28,0.86,4.87,4.37,5.99,6.04,2.93,,
August,5.13,4.92,1.73,4.79,1.05,4.96,3.87,3.81,0.91,4.28,,
September,3.22,1.57,5.49,4.18,2.76,4.98,1.38,4.12,0.99,2.32,,
October,0.84,3.13,1.46,7.79,3.09,3.12,2.66,3.16,2.54,3.98,,
November,5.44,1.99,5.14,5.89,1.95,0.77,2.24,1.56,6.26,4.31,,
December,3.73,3.70,4.20,5.03,6.71,4.25,4.52,5.53,5.38,3.71,,
Total,38.36,29.08,31.14,49.33,26.63,35.51,36.65,36.71,32.46,36.39,,
Calc annual,38.36,29.08,31.14,49.33,26.63,35.51,36.65,36.71,32.46,36.39,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
