"LOCH BENACHALLY",,,,,,,,,,,,
Grid ref,NO078497,Long,-3.504500,Lat,56.630032,,,,,,,
Station no,5568/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.57,2.53,0.50,2.48,2.08,3.65,4.82,3.46,1.50,4.20,,
February,3.26,1.13,0.94,4.26,1.65,2.01,4.57,2.05,0.74,4.84,,
March,2.00,4.46,0.52,3.05,0.67,3.19,3.47,3.11,3.61,3.42,,
April,1.73,1.77,2.42,0.81,1.01,0.77,1.38,0.80,3.84,5.25,,
May,2.18,4.29,2.44,6.03,2.09,1.14,2.53,3.50,1.06,3.06,,
June,2.31,2.15,1.67,2.61,2.04,4.19,1.34,4.41,2.00,3.06,,
July,2.88,0.91,3.86,3.10,0.39,4.99,4.96,4.29,5.06,4.26,,
August,5.80,4.87,1.66,4.18,0.91,6.47,5.34,4.93,1.54,4.27,,
September,3.23,0.78,4.44,4.71,1.48,5.39,2.13,4.99,1.99,3.30,,
October,1.26,4.84,2.36,5.46,2.79,2.22,1.74,2.17,4.07,7.98,,
November,11.97,2.48,2.95,8.62,3.11,1.61,1.46,1.06,5.79,4.16,,
December,3.46,2.32,4.18,3.97,6.81,5.14,4.61,5.83,8.09,2.91,,
Total,44.65,32.53,27.94,49.28,25.03,40.77,38.35,40.60,39.29,50.71,,
Calc annual,44.65,32.53,27.94,49.28,25.03,40.77,38.35,40.60,39.29,50.71,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
