"BURTON (SHOBNALL)",,,,,,,,,,,,
Grid ref,SK234231,Long,-1.654334,Lat,52.804950,,,,,,,
Station no,2360,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.82,2.17,0.85,0.93,1.75,3.21,1.22,1.94,2.79,5.70,,
February,2.40,0.59,1.61,2.26,1.89,0.73,2.48,3.34,0.24,1.60,,
March,3.47,2.26,0.98,1.95,2.67,1.20,2.00,1.62,1.61,1.57,,
April,1.81,2.21,2.37,0.51,1.07,1.11,0.13,0.56,2.48,0.98,,
May,2.68,2.85,1.78,2.47,3.24,0.56,0.74,1.87,0.31,1.63,,
June,1.10,2.61,2.43,2.41,3.37,2.65,1.18,3.69,0.60,3.27,,
July,0.89,1.48,2.17,2.01,0.62,3.10,3.46,4.41,2.04,2.98,,
August,6.34,1.77,2.60,4.48,0.75,4.93,3.22,1.44,0.53,3.65,,
September,1.68,1.01,2.26,1.80,1.30,2.21,5.63,2.66,0.06,4.59,,
October,0.80,2.68,2.29,2.93,1.61,1.51,1.41,2.67,2.14,5.59,,
November,5.34,1.45,1.57,4.21,1.97,0.94,2.03,1.83,3.06,3.00,,
December,2.01,2.42,1.23,3.05,1.74,2.24,1.33,3.01,3.08,2.28,,
Total,30.34,23.50,22.14,29.01,21.98,24.39,24.83,29.04,18.94,36.84,,
Calc annual,30.34,23.50,22.14,29.01,21.98,24.39,24.83,29.04,18.94,36.84,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
