"ROBOROUGH (MARISTOW GDNS)",,,,,,,,,,,,
Grid ref,SX472640,Long,-4.153892,Lat,50.455881,,,,,,,
Station no,1641/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.16,5.87,1.59,2.73,7.51,6.26,5.05,6.89,7.86,6.46,,
February,6.21,1.12,2.21,6.05,3.97,0.40,7.30,6.00,0.26,6.07,,
March,6.60,5.12,1.21,4.95,2.02,2.39,6.37,2.54,7.55,3.47,,
April,2.92,4.79,2.98,0.55,1.74,1.16,0.19,1.20,5.15,3.67,,
May,4.31,2.93,5.63,4.66,4.89,1.22,2.62,5.59,0.86,2.58,,
June,1.33,1.22,3.49,6.93,3.59,3.31,2.74,5.66,2.33,2.11,,
July,2.77,1.34,4.50,4.42,2.13,4.02,4.66,4.91,1.49,5.90,,
August,7.26,7.48,2.62,5.47,0.27,4.82,4.42,6.27,2.62,6.08,,
September,6.39,3.37,6.02,7.47,1.78,6.03,5.42,7.19,0.12,7.88,,
October,1.68,7.37,5.43,4.91,3.24,2.76,3.77,5.23,6.50,9.50,,
November,9.00,3.86,3.57,11.94,6.43,2.23,3.02,4.34,11.42,8.67,,
December,5.13,4.26,1.06,5.07,8.16,9.74,4.53,7.19,12.65,5.05,,
Total,60.76,48.73,40.31,65.15,45.73,44.34,50.09,63.01,58.81,67.44,,
Calc annual,60.76,48.73,40.31,65.15,45.73,44.34,50.09,63.01,58.81,67.44,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
