"BRADFORD (NAN SCAR, OXENHOPE)",,,,,,,,,,,,
Grid ref,SE037331,Long,-1.945314,Lat,53.794198,,,,,,,
Station no,3269,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.35,5.86,1.93,4.13,2.89,7.24,5.18,4.94,4.15,6.14,,
February,4.36,1.63,2.24,4.81,2.74,2.20,3.89,8.45,0.68,4.75,,
March,5.69,3.10,2.34,3.18,2.67,2.51,4.09,3.21,2.15,2.19,,
April,2.63,3.29,3.55,0.86,1.60,3.71,0.43,1.65,4.75,3.24,,
May,4.87,2.87,2.40,3.26,3.82,2.13,1.58,6.47,1.78,2.13,,
June,1.32,3.53,3.90,2.63,3.16,5.05,2.70,5.51,4.55,1.44,,
July,3.47,2.12,5.60,4.68,0.70,6.62,5.32,4.52,3.57,7.17,,
August,5.16,6.45,5.77,9.45,1.31,9.45,6.45,4.99,1.46,4.82,,
September,3.26,5.10,4.80,6.20,2.30,5.75,6.10,4.52,0.38,3.09,,
October,1.78,5.76,2.70,9.25,3.29,2.53,6.89,4.57,6.52,6.19,,
November,10.14,2.42,6.52,7.91,3.12,2.10,3.10,1.52,5.40,8.41,,
December,10.24,5.10,2.74,8.31,7.96,6.40,6.40,5.98,9.87,6.60,,
Total,58.27,47.23,44.49,64.67,35.56,55.69,52.13,56.33,45.26,56.17,,
Calc annual,58.27,47.23,44.49,64.67,35.56,55.69,52.13,56.33,45.26,56.17,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
