"DISLEY (LYME PARK)",,,,,,,,,,,,
Grid ref,SJ971836,Long,-2.045026,Lat,53.349281,,,,,,,
Station no,2732,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.67,3.79,1.69,3.47,2.31,5.01,1.99,3.38,3.27,4.96,,
February,3.18,1.68,1.87,2.80,1.89,1.33,1.96,4.21,0.55,2.27,,
March,5.05,1.97,2.93,2.53,2.44,1.16,2.99,1.46,1.47,1.26,,
April,2.45,3.88,2.57,0.69,2.02,1.79,0.27,0.88,2.44,1.66,,
May,1.57,2.36,1.86,3.17,3.06,1.20,1.36,2.77,0.70,1.66,,
June,2.06,2.75,2.97,3.65,3.05,2.82,1.71,5.01,1.92,1.74,,
July,4.28,4.06,5.90,6.42,0.85,5.28,4.94,4.54,3.40,5.72,,
August,4.45,1.57,4.76,5.25,0.81,8.26,4.32,5.41,0.27,5.75,,
September,1.82,3.79,2.57,4.23,1.98,2.07,6.09,3.00,0.21,3.42,,
October,1.12,3.47,1.99,6.74,2.45,2.31,3.24,3.07,3.27,3.84,,
November,8.12,2.53,2.58,6.35,1.73,1.08,1.52,1.61,3.92,4.90,,
December,4.74,3.57,1.67,5.29,3.59,4.01,3.93,3.35,5.38,3.58,,
Total,42.51,35.42,33.36,50.59,26.18,36.32,34.32,38.69,26.80,40.76,,
Calc annual,42.51,35.42,33.36,50.59,26.18,36.32,34.32,38.69,26.80,40.76,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
