"NOSS HEAD",,,,,,,,,,,,
Grid ref,ND389550,Long,-3.049408,Lat,58.478926,,,,,,,
Station no,5810,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,3.26,3.54,2.26,3.53,3.57,2.39,4.19,4.72,1.80,,
February,5.06,2.09,1.38,1.86,2.82,1.58,0.98,4.06,0.52,3.67,,
March,4.71,2.39,1.07,2.25,2.15,1.78,3.48,1.51,1.53,1.51,,
April,2.82,0.34,2.13,1.19,1.81,1.36,1.15,1.94,2.26,1.77,,
May,0.31,1.62,2.09,3.01,2.96,1.44,1.20,2.14,1.70,0.64,,
June,1.15,2.16,1.54,3.07,0.65,2.23,2.84,0.74,1.60,1.98,,
July,3.81,2.13,3.31,3.26,0.35,3.10,4.15,2.26,2.98,3.01,,
August,3.60,3.33,2.32,2.77,0.79,2.92,2.47,3.21,1.57,3.83,,
September,1.44,2.10,2.22,3.76,3.69,1.28,3.59,1.16,1.12,2.26,,
October,2.31,3.07,1.31,6.08,4.07,2.67,2.23,2.82,3.97,3.12,,
November,6.48,3.27,2.54,5.76,2.12,2.63,2.18,1.21,3.25,2.20,,
December,3.12,3.92,2.69,3.70,3.45,1.54,3.41,2.49,2.44,2.49,,
Total,37.39,29.68,26.14,38.97,28.39,26.10,30.07,27.73,27.66,28.28,,
Calc annual,37.39,29.68,26.14,38.97,28.39,26.10,30.07,27.73,27.66,28.28,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
