"PRESTWICK AIRPORT",,,,,,,,,,,,
Grid ref,NS358269,Long,-4.601649,Lat,55.508187,,,,,,,
Station no,5220/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.47,3.74,2.33,3.48,2.57,2.57,3.98,3.34,1.19,3.97,,
February,2.40,1.64,1.07,2.67,1.16,0.92,1.97,2.97,1.47,2.76,,
March,2.80,1.60,0.77,1.85,1.22,1.26,3.65,0.79,1.79,2.84,,
April,1.86,1.37,1.24,1.00,2.43,0.88,2.42,1.26,1.57,2.20,,
May,1.67,1.67,1.76,1.97,2.67,1.55,1.94,2.42,1.16,1.34,,
June,1.43,2.14,0.86,3.87,2.85,1.91,2.06,2.52,3.22,2.09,,
July,1.81,2.46,3.77,4.58,1.35,4.86,3.39,4.73,4.40,2.64,,
August,3.50,5.46,2.70,3.81,1.61,5.77,4.45,4.14,0.35,3.46,,
September,2.51,2.58,3.22,4.44,3.24,3.58,3.59,2.87,1.43,2.83,,
October,0.98,3.08,2.78,7.93,1.72,3.53,3.98,2.74,5.61,1.80,,
November,4.53,2.07,4.72,4.24,1.68,1.27,1.83,1.38,3.93,4.06,,
December,5.02,3.18,3.79,4.48,4.34,3.52,2.61,3.78,4.26,4.55,,
Total,31.98,30.99,29.01,44.32,26.84,31.62,35.87,32.94,30.38,34.54,,
Calc annual,31.98,30.99,29.01,44.32,26.84,31.62,35.87,32.94,30.38,34.54,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
