"BARHAM (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TR196509,Long,1.142981,Lat,51.215053,,,,,,,
Station no,290,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,3.01,0.94,1.81,4.24,5.37,2.42,4.24,2.57,4.01,,
February,6.84,1.62,2.47,2.38,2.17,1.89,4.18,3.34,0.03,2.36,,
March,3.61,3.35,0.18,3.78,2.29,0.45,0.85,2.18,1.65,1.78,,
April,2.03,1.51,1.67,0.42,0.25,0.73,0.47,1.90,3.03,0.81,,
May,2.38,1.19,1.99,1.95,4.15,0.49,1.15,1.58,0.99,2.07,,
June,1.21,2.12,2.40,3.03,1.91,2.55,1.33,4.11,0.80,1.71,,
July,1.58,1.10,2.49,2.70,1.36,2.23,3.33,1.97,2.64,3.11,,
August,4.88,4.34,1.82,4.52,2.58,3.17,3.20,4.20,1.13,2.70,,
September,4.13,6.92,4.03,1.67,1.03,1.73,3.10,2.72,0.15,2.90,,
October,2.66,2.67,3.13,2.65,5.00,1.94,1.21,3.93,3.08,7.45,,
November,5.25,4.15,2.02,6.30,1.33,0.91,5.11,1.80,6.36,5.10,,
December,3.18,3.54,1.15,1.99,2.81,3.26,1.94,4.82,7.69,5.02,,
Total,41.26,35.52,24.29,33.20,29.12,24.72,28.29,36.79,30.12,39.02,,
Calc annual,41.26,35.52,24.29,33.20,29.12,24.72,28.29,36.79,30.12,39.02,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
