"MELTON MOWBRAY (WHITE LODGE)",,,,,,,,,,,,
Grid ref,SK756187,Long,-0.881137,Lat,52.760625,,,,,,,
Station no,2515,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.74,2.01,0.79,1.47,2.61,3.80,1.48,2.34,2.98,5.15,,
February,3.22,0.76,1.55,2.50,2.20,0.73,2.55,3.33,0.04,1.74,,
March,3.28,2.29,1.34,1.98,2.64,0.79,1.87,1.61,2.25,1.52,,
April,2.20,1.33,2.03,0.40,1.18,1.13,0.45,0.66,1.74,0.58,,
May,2.58,1.58,1.72,2.85,3.28,0.61,1.22,1.96,0.46,1.07,,
June,1.26,1.70,4.73,2.67,2.58,3.43,1.87,4.68,1.03,1.19,,
July,1.09,0.42,1.78,2.98,0.56,3.27,6.44,2.98,1.22,2.60,,
August,3.77,2.60,2.71,5.27,0.44,4.12,1.67,2.37,0.99,4.03,,
September,1.08,1.81,1.06,2.13,0.79,1.53,4.17,1.98,0.05,4.52,,
October,0.91,2.90,2.06,2.94,1.71,1.45,1.02,1.96,1.83,5.72,,
November,5.90,2.09,1.60,4.90,0.83,1.07,2.17,1.67,2.08,2.90,,
December,1.64,2.29,1.04,2.62,1.32,2.19,2.37,2.45,3.23,3.93,,
Total,29.67,21.78,22.41,32.71,20.14,24.12,27.28,27.99,17.90,34.95,,
Calc annual,29.67,21.78,22.41,32.71,20.14,24.12,27.28,27.99,17.90,34.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
