"ABERDEEN (GORDON BARRACKS)",,,,,,,,,,,,
Grid ref,NJ948098,Long,-2.087648,Lat,57.178997,,,,,,,
Station no,5646/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.34,3.69,1.77,,,
February,,,,,,,2.18,3.00,0.38,2.42,,
March,,,,,,,2.07,3.46,1.19,,,
April,,,,,,,1.21,1.48,2.05,,,
May,,,,,,,1.23,2.49,1.41,,,
June,,,,,,,2.15,1.30,,,,
July,,,,,,,7.25,4.29,,,,
August,,,,,,3.59,3.51,2.90,,,,
September,,,,,,4.36,2.10,2.38,,,,
October,,,,,,2.76,1.28,1.41,,,,
November,,,,,,1.57,1.17,0.43,,,,
December,,,,,,3.85,3.42,3.73,,,,
Total,,,,,,,29.91,30.56,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.13,29.91,30.56,6.80,2.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,,
