"SELBY (BRAYTON BARFF WW)",,,,,,,,,,,,
Grid ref,SE585305,Long,-1.113978,Lat,53.767570,,,,,,,
Station no,3264/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.50,1.55,0.49,1.48,1.73,3.66,1.13,2.11,2.02,4.71,,
February,2.39,0.34,1.88,1.99,1.76,1.52,1.98,3.35,0.12,1.55,,
March,2.56,1.83,0.36,1.54,1.96,0.94,1.55,1.87,0.76,1.49,,
April,0.89,1.24,1.91,0.29,1.40,2.14,0.24,0.62,2.89,0.85,,
May,4.53,1.29,1.38,2.67,3.10,0.60,0.92,2.47,0.69,0.66,,
June,0.94,1.40,1.22,1.80,2.20,2.26,1.83,3.73,0.94,0.64,,
July,2.43,1.46,2.08,1.83,0.90,3.51,3.71,4.14,1.10,4.35,,
August,5.43,1.84,3.07,4.38,0.84,5.56,4.51,2.63,0.33,2.70,,
September,1.56,2.30,0.99,2.17,1.31,2.25,3.46,2.50,0.22,3.15,,
October,1.60,2.10,1.45,2.90,1.70,1.23,1.51,1.26,2.06,6.17,,
November,4.97,1.47,1.64,4.21,1.66,0.65,2.11,0.78,3.09,4.67,,
December,2.02,1.20,1.45,1.88,2.48,2.00,2.25,3.28,2.60,2.01,,
Total,30.82,18.02,17.92,27.14,21.04,26.32,25.20,28.74,16.82,32.95,,
Calc annual,30.82,18.02,17.92,27.14,21.04,26.32,25.20,28.74,16.82,32.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
