"STRONE BRIDGE",,,,,,,,,,,,
Grid ref,NN454105,Long,-4.497557,Lat,56.261753,,,,,,,
Station no,5519,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.40,5.50,4.50,6.50,4.20,5.10,11.50,9.60,3.10,4.90,,
February,4.60,2.40,3.90,6.40,3.20,1.60,6.80,3.30,3.50,7.80,,
March,5.10,7.80,2.80,6.00,2.40,3.60,7.60,2.50,5.60,3.10,,
April,5.60,3.70,4.40,2.60,3.90,3.20,3.00,2.50,4.90,8.60,,
May,2.50,2.80,4.60,5.90,4.00,4.40,3.10,5.30,2.00,4.10,,
June,3.00,4.20,2.70,3.70,3.40,4.70,2.20,3.70,3.50,2.90,,
July,3.80,3.80,5.80,3.50,1.30,6.50,4.40,4.10,6.90,5.60,,
August,7.20,5.70,5.10,6.20,1.40,7.50,6.10,6.20,3.10,4.50,,
September,5.40,3.40,8.50,9.60,5.40,7.80,4.40,6.50,1.70,3.60,,
October,1.80,8.30,7.10,12.30,6.80,4.90,6.60,6.50,8.60,6.20,,
November,12.90,2.80,12.20,14.90,4.70,3.60,3.00,1.90,7.90,10.20,,
December,11.40,7.00,8.50,14.70,13.30,11.60,10.00,9.70,13.20,8.90,,
Total,70.70,57.40,70.10,92.30,54.00,64.50,68.70,61.80,64.00,70.40,,
Calc annual,70.70,57.40,70.10,92.30,54.00,64.50,68.70,61.80,64.00,70.40,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
