"THRAPSTON (ISLIP FURNACES)",,,,,,,,,,,,
Grid ref,SP971783,Long,-0.574455,Lat,52.394119,,,,,,,
Station no,1128/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.18,1.62,0.93,0.73,1.70,3.41,1.26,2.59,3.39,2.99,,
February,2.90,0.52,1.74,1.88,1.66,0.59,1.87,3.10,0.10,1.55,,
March,3.05,2.22,0.84,2.30,2.00,0.91,1.70,1.50,2.29,1.86,,
April,2.80,1.53,1.60,0.24,0.72,0.96,0.28,0.68,1.77,0.29,,
May,2.60,1.87,1.23,2.72,3.52,0.51,1.63,2.23,0.42,1.45,,
June,0.63,0.99,1.63,2.11,2.00,2.37,1.89,4.98,0.49,2.66,,
July,0.63,0.34,2.22,2.01,0.26,3.18,2.57,2.27,2.16,3.52,,
August,3.51,3.28,2.26,4.37,0.93,3.42,2.34,2.07,0.82,3.74,,
September,1.37,1.95,1.14,1.79,0.92,1.66,4.79,2.01,0.02,3.73,,
October,0.87,2.45,1.70,2.06,2.15,1.38,1.21,1.97,1.44,5.24,,
November,4.27,2.45,1.78,4.51,1.24,0.73,1.53,1.40,1.59,3.29,,
December,1.69,1.91,0.47,2.71,1.72,2.59,2.38,2.49,3.70,2.87,,
Total,26.50,21.13,17.54,27.43,18.82,21.71,23.45,27.29,18.19,33.19,,
Calc annual,26.50,21.13,17.54,27.43,18.82,21.71,23.45,27.29,18.19,33.19,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
