"GLENEDRA INTAKE",,,,,,,,,,,,
Grid ref,IC682024,Long,-6.938483,Lat,54.864863,,,,,,,
Station no,6243/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.96,7.75,1.84,4.35,4.48,5.29,6.16,4.46,3.29,6.27,,
February,4.58,2.78,2.62,6.12,4.22,1.97,5.25,6.22,1.63,5.59,,
March,3.82,2.47,1.10,5.08,1.58,2.87,3.85,2.80,5.13,2.56,,
April,3.46,2.43,3.18,1.52,3.47,1.86,1.57,2.63,4.97,4.61,,
May,3.11,1.73,3.74,5.73,4.59,2.38,1.73,4.12,1.34,2.65,,
June,3.53,3.35,3.47,4.34,5.04,4.47,1.76,6.00,2.90,3.25,,
July,4.60,2.91,5.77,5.11,1.27,5.67,7.82,7.00,4.75,-999.00,,
August,7.58,5.60,4.90,3.78,1.24,6.47,4.80,4.67,2.38,5.18,,
September,4.21,4.19,4.51,6.49,4.70,4.55,7.07,6.21,1.35,3.60,,
October,2.31,6.92,3.28,6.02,4.41,3.57,4.75,4.05,5.87,7.44,,
November,10.56,4.29,5.01,7.00,2.95,3.58,1.58,2.43,8.20,5.80,,
December,7.15,6.32,4.37,6.80,6.66,6.68,6.87,7.40,9.38,5.46,,
Total,59.87,50.74,43.79,62.34,44.61,49.36,53.21,57.99,51.19,59.36,,
Calc annual,59.87,50.74,43.79,62.34,44.61,49.36,53.21,57.99,51.19,52.41,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,6.95,,
