"HERNE BAY (WATERWORKS)",,,,,,,,,,,,
Grid ref,TR186679,Long,1.139085,Lat,51.368068,,,,,,,
Station no,319,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.45,1.52,1.02,1.25,2.32,3.62,1.18,2.38,1.74,2.38,,
February,4.22,1.14,1.36,2.07,1.36,1.25,2.92,2.19,0.11,1.86,,
March,2.17,3.06,0.30,2.58,1.06,0.39,0.81,1.10,1.30,1.45,,
April,1.66,1.03,1.08,0.37,0.19,1.02,0.31,1.81,1.74,0.69,,
May,2.48,0.93,1.62,1.62,3.28,0.51,1.06,1.90,1.01,1.80,,
June,1.91,2.03,2.58,2.08,1.92,1.91,1.00,4.89,1.85,1.39,,
July,1.02,0.76,2.75,2.36,1.72,2.30,2.50,2.55,2.31,2.27,,
August,2.67,2.88,1.52,4.06,5.52,3.28,1.54,2.91,0.90,3.12,,
September,2.85,4.48,3.05,1.08,0.57,1.34,2.91,4.34,0.35,3.31,,
October,1.66,1.68,1.95,0.95,4.25,0.93,0.97,3.89,2.82,5.90,,
November,3.04,4.04,1.35,3.73,0.52,0.70,3.34,1.51,4.12,3.93,,
December,2.08,1.83,1.08,1.32,1.66,2.49,1.46,3.62,4.10,3.27,,
Total,28.21,25.38,19.66,23.47,24.37,19.74,20.00,33.09,22.35,31.37,,
Calc annual,28.21,25.38,19.66,23.47,24.37,19.74,20.00,33.09,22.35,31.37,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
