"KINGTON (HILL COURT)",,,,,,,,,,,,
Grid ref,SO294568,Long,-3.034522,Lat,52.204884,,,,,,,
Station no,2245,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.01,3.89,,,,,,,,,,
February,3.65,0.88,,,,,,,,,,
March,5.25,2.12,,,,,,,,,,
April,2.27,2.43,,,,,,,,,,
May,3.07,3.06,,,,,,,,,,
June,0.64,2.12,,,,,,,,,,
July,1.48,1.21,,,,,,,,,,
August,3.97,5.51,,,,,,,,,,
September,2.96,3.25,,,,,,,,,,
October,0.86,5.72,,,,,,,,,,
November,7.83,3.64,,,,,,,,,,
December,3.03,3.77,,,,,,,,,,
Total,38.02,37.60,,,,,,,,,,
Calc annual,38.02,37.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
