"GLEN GAIRN (CORNDAVON)",,,,,,,,,,,,
Grid ref,NJ228021,Long,-3.276000,Lat,57.103363,,,,,,,
Station no,5637/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.29,1.22,1.56,2.89,1.65,5.22,3.40,3.05,4.47,5.53,,
February,3.91,2.51,1.79,2.26,4.79,2.23,1.87,4.50,0.37,4.10,,
March,2.12,2.08,0.66,3.50,4.17,2.25,2.93,3.27,1.58,1.80,,
April,3.08,1.50,2.13,1.56,1.20,2.31,0.39,2.40,1.80,2.40,,
May,2.97,3.38,2.59,6.56,2.78,0.83,1.90,3.41,1.70,0.90,,
June,2.40,2.48,5.42,2.52,0.79,3.64,2.83,3.62,2.31,1.70,,
July,2.81,0.85,4.63,2.44,0.58,4.67,5.93,6.04,3.35,2.60,,
August,4.78,3.64,2.97,2.92,0.72,6.50,4.03,2.72,1.09,4.70,,
September,1.13,3.22,1.98,2.97,1.89,3.54,3.89,2.92,0.40,3.20,,
October,1.17,4.44,1.21,5.98,5.61,3.99,2.01,2.53,5.17,9.50,,
November,8.17,4.54,1.82,5.35,1.90,1.42,2.83,0.80,6.20,3.80,,
December,2.96,2.69,2.77,4.99,4.99,4.64,3.46,4.72,5.16,2.60,,
Total,38.79,32.55,29.53,43.94,31.07,41.24,35.47,39.98,33.60,42.83,,
Calc annual,38.79,32.55,29.53,43.94,31.07,41.24,35.47,39.98,33.60,42.83,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
