"BOLTON W.W. (HULTON PASTURE)",,,,,,,,,,,,
Grid ref,SD672183,Long,-2.497814,Lat,53.660152,,,,,,,
Station no,2883,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.94,5.97,2.74,6.39,3.04,6.89,4.24,4.78,2.94,7.32,,
February,4.41,2.31,1.66,4.77,3.01,1.11,3.45,9.08,1.11,3.63,,
March,6.04,2.86,2.74,3.77,2.49,2.16,4.94,2.12,2.68,1.48,,
April,3.19,4.53,-999.00,1.24,4.03,3.80,0.85,1.88,3.60,2.60,,
May,3.22,3.04,3.32,3.49,5.15,2.14,2.49,5.22,1.65,2.31,,
June,1.69,5.62,3.24,5.42,4.81,3.22,2.46,5.45,2.57,1.51,,
July,5.06,3.98,6.11,9.97,1.16,7.27,8.77,4.98,6.72,10.39,,
August,6.11,5.82,5.84,8.49,1.72,15.08,8.75,6.64,0.60,6.19,,
September,3.97,6.19,6.17,7.04,5.91,5.23,10.87,5.86,0.49,3.62,,
October,1.19,6.03,2.83,10.97,3.28,3.51,8.24,5.59,5.43,5.14,,
November,10.73,3.44,7.55,9.54,3.72,2.06,2.41,2.36,5.67,7.56,,
December,11.63,5.18,2.60,7.98,6.38,4.80,6.48,5.29,8.90,4.90,,
Total,64.18,54.97,48.83,79.07,44.70,57.27,63.95,59.25,42.36,56.65,,
Calc annual,64.18,54.97,44.80,79.07,44.70,57.27,63.95,59.25,42.36,56.65,,
Difference,0.00,0.00,4.03,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
