"HATFIELD PEVEREL (RUSHES LOCK)",,,,,,,,,,,,
Grid ref,TL795090,Long,0.599015,Lat,51.750932,,,,,,,
Station no,1291/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.88,1.72,1.00,1.42,2.80,3.57,1.11,2.40,2.01,1.79,,
February,4.79,0.77,0.85,2.13,1.94,0.63,2.24,2.71,0.12,1.88,,
March,2.36,2.95,0.41,2.06,1.20,0.80,1.47,0.90,1.51,1.16,,
April,2.59,0.96,1.89,0.25,0.18,1.14,0.16,1.29,2.19,0.57,,
May,2.36,1.04,1.50,2.17,4.45,0.62,1.16,2.48,0.78,2.26,,
June,0.77,1.55,1.69,2.42,2.43,1.87,1.31,4.90,0.45,1.54,,
July,1.88,0.62,3.01,2.46,0.10,3.97,2.90,2.68,2.07,2.60,,
August,2.67,1.64,1.28,2.80,0.53,3.75,1.98,3.55,0.63,3.49,,
September,2.05,2.92,1.99,1.62,1.88,1.90,2.98,4.65,0.04,5.01,,
October,0.63,1.93,2.40,1.44,3.78,1.34,1.33,2.12,2.28,6.05,,
November,3.95,3.97,0.92,3.28,0.79,0.54,3.15,1.38,2.90,3.65,,
December,1.76,2.28,0.83,1.26,1.43,2.06,1.82,3.19,3.87,2.53,,
Total,27.69,22.35,17.77,23.31,21.51,22.19,21.61,32.25,18.85,32.53,,
Calc annual,27.69,22.35,17.77,23.31,21.51,22.19,21.61,32.25,18.85,32.53,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
