"SELHIRK (BOWHILL)",,,,,,,,,,,,
Grid ref,NT428278,Long,-2.907960,Lat,55.540546,,,,,,,
Station no,5060/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,-999.00,2.57,2.40,4.83,3.12,2.14,4.17,,
February,,,,-999.00,2.09,1.80,3.69,3.30,0.81,4.09,,
March,,,,2.90,2.61,1.71,2.16,1.68,1.74,1.98,,
April,,,,0.63,0.60,0.79,1.03,1.57,3.00,2.30,,
May,,,,5.15,2.15,1.17,1.69,2.41,0.88,2.00,,
June,,,,2.63,1.08,2.17,1.32,3.27,2.26,1.03,,
July,,,,2.65,2.04,4.21,3.40,5.52,2.52,2.59,,
August,,,,4.74,0.80,8.68,5.55,2.98,0.78,4.41,,
September,,,,3.78,1.73,2.43,1.90,2.75,1.03,1.73,,
October,,,,5.80,1.85,1.96,3.13,2.32,3.24,3.65,,
November,,,,5.65,1.63,1.08,1.20,0.68,6.06,3.92,,
December,,,,4.11,5.18,4.13,2.96,4.89,3.97,3.88,,
Total,,,,,24.33,32.53,32.86,34.49,28.43,35.75,,
Calc annual,0.00,0.00,0.00,38.04,24.33,32.53,32.86,34.49,28.43,35.75,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
