"SWINTON HOUSE (+19)",,,,,,,,,,,,
Grid ref,NT818470,Long,-2.291254,Lat,55.716082,,,,,,,
Station no,5088,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,1.54,0.95,2.14,1.71,2.51,2.87,1.33,1.57,3.85,,
February,1.79,0.72,1.31,1.98,2.80,2.42,3.09,2.04,0.38,2.35,,
March,2.94,1.27,0.30,1.06,1.09,0.64,1.70,2.85,0.48,1.23,,
April,2.71,1.32,2.93,0.65,0.60,0.64,0.42,2.22,1.50,0.66,,
May,3.24,1.93,2.57,4.34,2.08,0.54,1.54,2.10,0.45,1.58,,
June,1.11,1.93,1.59,2.51,1.68,2.54,1.65,3.14,1.90,0.98,,
July,2.01,1.25,2.94,1.92,2.17,3.19,2.85,3.84,3.13,3.55,,
August,3.18,3.50,2.18,4.94,0.43,9.11,3.92,3.56,0.51,3.37,,
September,0.94,2.21,2.04,3.12,1.23,3.05,1.98,2.02,0.60,1.77,,
October,0.44,2.70,1.35,4.38,2.27,1.28,1.57,1.23,1.99,5.75,,
November,5.32,3.59,2.16,2.46,1.21,0.69,1.37,0.94,4.53,2.39,,
December,1.18,3.91,1.76,2.02,3.73,2.28,2.26,3.86,3.20,1.91,,
Total,28.40,25.87,22.08,31.52,21.00,28.89,25.22,29.13,20.24,29.39,,
Calc annual,28.40,25.87,22.08,31.52,21.00,28.89,25.22,29.13,20.24,29.39,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
