"DOUGLAS CRIMPLE RESERVOIR",,,,,,,,,,,,
Grid ref,SC253743,Long,-4.675523,Lat,54.134763,,,,,,,
Station no,4414/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.11,4.59,2.74,5.38,4.91,4.84,4.99,6.19,-999.00,6.23,,
February,3.82,1.09,3.02,5.61,3.45,1.23,4.41,6.52,1.69,4.30,,
March,4.36,3.10,0.33,5.35,2.06,1.25,4.83,2.18,3.90,3.00,,
April,1.54,1.43,3.42,0.88,3.10,1.30,0.98,1.51,2.79,3.81,,
May,3.22,2.64,3.76,3.11,3.05,1.93,3.67,3.14,0.97,2.60,,
June,0.73,3.36,2.85,2.62,5.46,2.80,2.66,4.90,2.75,1.80,,
July,2.79,1.46,5.80,4.70,2.96,3.52,4.17,3.67,2.40,6.87,,
August,5.43,5.93,4.47,4.08,2.38,10.75,3.32,5.25,0.59,2.83,,
September,6.14,3.31,7.22,5.23,3.06,3.90,8.57,5.22,2.08,5.09,,
October,1.08,6.50,4.02,10.58,3.03,3.83,6.39,3.81,6.35,8.09,,
November,7.49,3.83,6.91,8.00,3.42,1.91,3.02,4.59,8.00,8.33,,
December,6.31,5.81,2.78,5.85,5.77,2.89,4.34,7.33,8.58,5.00,,
Total,48.02,43.05,47.32,61.39,42.65,40.15,51.35,54.31,43.71,57.95,,
Calc annual,48.02,43.05,47.32,61.39,42.65,40.15,51.35,54.31,40.10,57.95,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,3.61,0.00,,
