"STRATHFANNON (MILTON COTTAGE, STRUY)",,,,,,,,,,,,
Grid ref,NH394406,Long,-4.676418,Lat,57.427272,,,,,,,
Station no,5713/94,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.77,4.41,3.37,4.33,,
February,,,,,,,3.17,4.42,2.10,2.71,,
March,,,,,,,2.69,2.09,2.04,0.74,,
April,,,,,,2.11,0.97,3.07,5.28,3.89,,
May,,,,,,2.27,1.57,5.67,1.07,0.92,,
June,,,,,,1.64,2.22,2.65,2.66,2.08,,
July,,,,,,4.55,5.98,2.07,4.68,2.13,,
August,,,,,,7.32,6.45,3.66,2.99,6.58,,
September,,,,,,3.98,3.02,3.45,0.73,2.27,,
October,,,,,,4.49,4.02,5.38,5.85,3.17,,
November,,,,,,5.16,1.81,1.03,5.90,2.03,,
December,,,,,,7.71,7.65,3.91,4.74,5.37,,
Total,,,,,,,46.32,41.81,41.41,36.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,39.23,46.32,41.81,41.41,36.22,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
