"DRAYCOTT (CLEVELAND AVENUE)",,,,,,,,,,,,
Grid ref,SK440333,Long,-1.347404,Lat,52.895353,,,,,,,
Station no,2655/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.68,2.85,4.91,,
February,,,,,,,2.45,3.19,0.18,1.72,,
March,,,,,,,2.21,1.78,1.16,1.33,,
April,,,,,,,0.22,0.76,2.20,1.13,,
May,,,,,,,1.16,1.83,0.34,1.66,,
June,,,,,,,1.43,4.27,1.08,2.32,,
July,,,,,,,2.15,4.59,1.46,3.51,,
August,,,,,,,2.56,1.87,1.00,4.62,,
September,,,,,,,5.96,2.04,0.05,4.00,,
October,,,,,,,1.25,2.29,2.04,4.65,,
November,,,,,,,2.18,1.24,2.32,2.68,,
December,,,,,,,1.92,2.78,3.04,3.31,,
Total,,,,,,,,29.32,17.72,35.84,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.49,29.32,17.72,35.84,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
