"MORAR (MEABLE)",,,,,,,,,,,,
Grid ref,NM683922,Long,-5.812978,Lat,56.962798,,,,,,,
Station no,5714/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,9.43,8.70,,,,,,,,,
February,5.03,7.62,4.34,,,,,,,,,
March,4.92,,2.98,,,,,,,,,
April,5.72,,4.28,,,,,,,,,
May,0.74,5.18,3.72,,,,,,,,,
June,2.86,4.52,,,,,,,,,,
July,9.62,6.26,,,,,,,,,,
August,7.26,4.07,,,,,,,,,,
September,7.39,7.97,,,,,,,,,,
October,6.16,7.66,,,,,,,,,,
November,11.86,4.70,,,,,,,,,,
December,19.05,7.91,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,80.61,65.32,24.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
