"TAYNUILT (MUCKAIRN)",,,,,,,,,,,,
Grid ref,NM980334,Long,-5.279174,Lat,56.449364,,,,,,,
Station no,5405/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.17,,,,,,,,,,,
February,4.47,,,,,,,,,,,
March,4.00,,,,,,,,,,,
April,4.51,,,,,,,,,,,
May,0.81,,,,,,,,,,,
June,2.13,,,,,,,,,,,
July,4.83,,,,,,,,,,,
August,3.82,,,,,,,,,,,
September,5.04,,,,,,,,,,,
October,3.71,,,,,,,,,,,
November,7.52,,,,,,,,,,,
December,12.03,,,,,,,,,,,
Total,61.04,,,,,,,,,,,
Calc annual,61.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
