"GLAMIS CASTLE",,,,,,,,,,,,
Grid ref,NO388480,Long,-2.998895,Lat,56.619845,,,,,,,
Station no,5575,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,1.82,0.65,2.00,1.59,4.32,,,,,,
February,3.55,0.80,0.75,3.60,2.17,1.77,,,,,,
March,1.82,2.88,0.44,3.84,2.74,2.42,,,,,,
April,2.06,1.21,3.55,0.98,0.84,1.14,,,,,,
May,1.62,3.92,1.55,5.23,2.04,0.83,,,,,,
June,2.61,2.33,1.23,2.22,1.82,3.53,,,,,,
July,4.42,2.23,3.23,2.79,0.95,5.44,,,,,,
August,3.25,2.83,2.23,2.46,1.07,6.51,,,,,,
September,1.79,0.74,2.31,3.01,1.39,5.93,,,,,,
October,0.68,3.98,1.83,5.70,2.44,2.12,,,,,,
November,9.27,2.35,3.98,7.66,2.61,0.97,,,,,,
December,3.31,1.86,4.31,3.67,7.40,6.33,,,,,,
Total,37.47,26.95,26.06,43.16,27.06,41.31,,,,,,
Calc annual,37.47,26.95,26.06,43.16,27.06,41.31,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
