"STRATHFARRAR",,,,,,,,,,,,
Grid ref,NH229387,Long,-4.949455,Lat,57.404096,,,,,,,
Station no,5713/925,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,6.12,3.60,5.14,,
February,,,,,,,,4.00,2.37,3.20,,
March,,,,,,,,2.07,2.03,0.86,,
April,,,,,,,,7.12,5.25,7.11,,
May,,,,,,,,5.74,1.22,1.09,,
June,,,,,,,,2.10,2.40,3.13,,
July,,,,,,,,2.14,6.10,2.55,,
August,,,,,,,,3.19,3.07,6.38,,
September,,,,,,,,3.58,1.72,2.33,,
October,,,,,,,,8.51,8.48,3.07,,
November,,,,,,,2.25,1.77,6.77,3.29,,
December,,,,,,,11.11,5.34,6.58,8.01,,
Total,,,,,,,,51.68,49.59,46.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,13.36,51.68,49.59,46.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
