"EATON (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SJ567634,Long,-2.649132,Lat,53.165947,,,,,,,
Station no,2767/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.74,3.03,1.34,1.81,2.24,4.68,1.39,3.17,3.50,5.38,,
February,2.25,1.37,1.65,2.34,2.26,0.52,2.51,4.67,0.30,2.65,,
March,5.31,1.61,0.98,2.77,2.36,1.54,2.90,1.68,1.49,1.40,,
April,1.87,2.29,3.04,0.66,1.76,2.92,0.46,0.78,3.39,1.48,,
May,2.83,2.11,2.38,2.58,2.75,1.03,1.30,1.92,2.09,2.26,,
June,1.40,2.13,1.66,3.99,3.73,2.41,1.69,4.45,2.17,2.52,,
July,1.87,1.85,3.09,4.89,0.51,4.45,4.96,3.54,2.68,2.81,,
August,4.26,1.00,2.79,3.42,0.95,7.75,4.32,3.07,0.65,4.43,,
September,2.06,3.27,2.95,3.05,2.95,2.67,7.41,5.68,0.23,3.65,,
October,1.03,4.32,1.61,5.05,1.98,2.46,2.67,3.09,2.55,4.95,,
November,6.93,2.04,2.15,5.41,1.68,1.49,1.52,1.85,3.65,4.60,,
December,4.14,3.56,1.61,4.09,3.24,2.60,2.16,3.18,5.08,2.84,,
Total,35.69,28.58,25.25,40.06,26.41,34.52,33.29,37.08,27.78,38.97,,
Calc annual,35.69,28.58,25.25,40.06,26.41,34.52,33.29,37.08,27.78,38.97,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
