"GT MASSINGHAM",,,,,,,,,,,,
Grid ref,TF797234,Long,0.662788,Lat,52.778271,,,,,,,
Station no,1425/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,2.32,1.31,1.74,2.13,3.09,2.02,2.23,,,,
February,2.74,1.14,1.46,2.15,2.46,1.70,2.92,3.96,,,,
March,3.80,2.64,1.12,2.48,1.84,0.84,2.44,1.25,,,,
April,2.91,1.73,2.16,0.39,0.84,1.03,0.40,0.99,,,,
May,2.50,1.93,1.39,2.42,2.10,1.05,1.53,3.21,,,,
June,1.62,0.64,4.28,2.24,2.28,2.65,1.88,,,,,
July,1.10,1.13,2.69,4.09,0.25,3.38,3.62,,,,,
August,3.41,2.68,2.75,5.63,1.01,3.81,2.40,,,,,
September,3.12,3.44,1.26,2.56,1.66,1.47,4.23,,,,,
October,0.74,2.53,3.06,3.50,3.11,2.17,1.57,,,,,
November,3.40,3.50,1.72,4.69,1.22,1.21,1.54,,,,,
December,1.49,2.20,1.16,1.99,1.65,1.48,2.46,,,,,
Total,30.08,25.88,24.36,33.88,20.55,23.88,27.01,,,,,
Calc annual,30.08,25.88,24.36,33.88,20.55,23.88,27.01,11.64,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
