"COVENTRY (BALSALL COMMON)",,,,,,,,,,,,
Grid ref,SP235769,Long,-1.656115,Lat,52.389626,,,,,,,
Station no,2470/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.28,2.14,1.03,0.89,2.33,3.95,1.41,2.53,3.06,4.96,,
February,3.30,0.48,0.89,2.70,2.00,0.65,2.52,3.66,0.06,2.14,,
March,4.27,2.74,1.57,2.53,2.74,0.87,2.32,1.66,1.33,1.02,,
April,2.31,2.49,2.08,0.60,1.12,0.88,0.24,0.86,3.07,1.17,,
May,3.41,2.54,1.64,2.56,4.62,0.77,0.99,2.10,0.77,1.15,,
June,2.04,1.55,1.55,2.80,3.06,2.11,1.29,4.24,0.78,2.26,,
July,0.98,0.41,3.79,3.23,0.86,2.43,2.86,3.65,1.21,2.55,,
August,4.54,3.80,3.28,4.25,0.46,5.53,3.03,2.45,1.34,3.33,,
September,1.70,1.38,2.05,1.75,1.42,2.05,3.92,4.14,0.04,4.11,,
October,0.74,4.27,2.24,3.35,1.41,1.39,1.17,2.63,2.37,5.75,,
November,5.20,2.11,0.96,5.14,2.18,0.48,1.74,1.86,3.32,3.52,,
December,1.93,2.36,1.09,1.62,2.22,3.10,2.75,2.62,4.54,3.53,,
Total,33.70,26.27,22.17,31.42,24.42,24.21,24.24,32.40,21.89,35.49,,
Calc annual,33.70,26.27,22.17,31.42,24.42,24.21,24.24,32.40,21.89,35.49,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
