"SIBFORD FERRIS (WEST VIEW)",,,,,,,,,,,,
Grid ref,SP363366,Long,-1.472346,Lat,52.026633,,,,,,,
Station no,1030,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.36,1.54,0.97,0.95,1.86,3.34,1.41,2.59,3.95,4.28,,
February,3.15,0.60,1.31,2.50,1.31,0.32,3.01,3.21,0.04,2.08,,
March,3.72,2.36,0.80,2.20,1.54,0.70,2.09,1.41,3.07,0.96,,
April,2.74,1.72,1.93,0.38,0.83,1.18,0.49,0.86,2.57,0.84,,
May,3.02,2.38,1.46,2.23,3.75,0.57,1.49,2.56,0.41,1.57,,
June,0.97,1.94,1.79,2.51,3.23,2.34,1.59,4.14,0.92,3.99,,
July,0.77,0.28,2.54,2.41,0.32,2.55,3.96,2.91,1.74,3.35,,
August,4.87,3.05,2.89,3.87,0.24,3.61,4.60,1.61,1.01,3.90,,
September,2.22,1.16,2.15,2.47,1.67,2.46,3.02,4.72,0.11,4.11,,
October,0.93,4.25,3.32,2.77,1.31,1.27,1.09,3.01,2.29,5.92,,
November,6.10,2.76,1.08,5.13,1.50,0.90,1.95,2.60,2.75,3.84,,
December,2.07,2.31,0.82,1.99,1.90,3.47,2.58,2.97,5.04,3.44,,
Total,32.92,24.35,21.06,29.41,19.46,22.71,27.28,32.59,23.90,38.28,,
Calc annual,32.92,24.35,21.06,29.41,19.46,22.71,27.28,32.59,23.90,38.28,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
