"MULL (ULVA)",,,,,,,,,,,,
Grid ref,NM442389,Long,-6.155181,Lat,56.472552,,,,,,,
Station no,5450,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,5.58,10.50,3.64,4.31,,11.41,2.37,2.87,,
February,,,3.80,3.65,3.97,2.64,,3.76,1.45,4.71,,
March,,,1.97,5.30,1.76,2.36,,1.87,5.38,2.36,,
April,,,3.98,1.29,5.44,2.39,,2.82,4.93,3.77,,
May,,,2.81,4.55,3.30,3.66,,3.06,1.28,3.15,,
June,,,2.22,4.10,4.08,4.27,,3.52,3.37,3.58,,
July,,,4.33,4.90,0.85,5.28,,2.78,6.31,3.81,,
August,,,5.89,4.97,1.81,5.58,,4.83,3.38,3.17,,
September,,,5.77,9.01,8.35,3.44,,5.77,2.58,2.75,,
October,,,6.52,8.11,6.53,6.66,,8.86,4.80,1.58,,
November,,,10.62,9.83,3.75,6.94,,3.80,,8.33,,
December,,,5.91,9.31,7.45,8.37,,4.33,,7.88,,
Total,,,59.40,75.52,50.93,55.90,,56.81,,47.96,,
Calc annual,0.00,0.00,59.40,75.52,50.93,55.90,0.00,56.81,35.85,47.96,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,NaN,0.00,NaN,0.00,,
