"LANCHESTER (MAIDEN LAW)",,,,,,,,,,,,
Grid ref,NZ172494,Long,-1.733722,Lat,54.839128,,,,,,,
Station no,3545/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,1.56,,,,
February,,,,,,,,2.06,,,,
March,,,,,,,,2.14,,,,
April,,,,,,,,1.50,,,,
May,,,,,,,2.24,3.07,,,,
June,,,,,,,1.47,2.67,,,,
July,,,,,,,3.41,3.41,,,,
August,,,,,,,,1.87,,,,
September,,,,,,,,1.53,,,,
October,,,,,,,1.30,0.93,,,,
November,,,,,,,1.64,0.52,,,,
December,,,,,,,0.27,4.34,,,,
Total,,,,,,,,25.60,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,10.33,25.60,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,,
