"ENFIELD (SOUTHBURY ROAD)",,,,,,,,,,,,
Grid ref,TQ332965,Long,-0.076024,Lat,51.651520,,,,,,,
Station no,891,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.60,1.73,0.93,1.01,2.27,3.57,1.20,2.45,2.05,1.92,,
February,5.45,0.76,1.53,2.31,1.65,0.27,3.06,2.53,0.07,2.09,,
March,3.17,2.64,0.55,2.40,1.10,0.88,1.05,1.03,1.62,1.35,,
April,2.83,1.05,2.88,0.23,0.35,1.06,0.24,1.38,2.36,0.51,,
May,2.20,1.13,1.22,2.12,4.77,0.67,0.83,2.68,1.42,1.92,,
June,0.57,1.22,1.17,3.72,2.01,3.04,0.81,4.87,0.65,1.59,,
July,0.96,0.73,3.98,2.73,0.20,5.06,2.79,2.41,1.24,3.03,,
August,4.15,2.81,1.92,2.89,1.24,3.89,1.84,3.46,1.55,1.88,,
September,3.50,2.99,1.81,1.63,1.70,2.30,2.41,3.57,0.03,3.62,,
October,0.78,2.37,3.08,2.29,3.46,2.54,1.94,2.73,1.73,5.71,,
November,4.89,3.41,0.93,4.03,0.76,0.40,2.32,1.80,2.46,3.66,,
December,1.62,2.23,0.57,1.89,1.89,2.82,1.74,2.93,3.50,2.48,,
Total,32.72,23.07,20.57,27.25,21.40,26.50,20.23,31.84,18.68,29.76,,
Calc annual,32.72,23.07,20.57,27.25,21.40,26.50,20.23,31.84,18.68,29.76,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
