"BALA (BOYS' GRAMMER SCHOOL)",,,,,,,,,,,,
Grid ref,SH929361,Long,-3.594082,Lat,52.911617,,,,,,,
Station no,4325/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.79,8.03,1.74,4.51,4.79,5.84,8.27,6.24,6.85,8.28,,
February,6.13,1.15,2.13,4.25,2.45,1.12,4.49,7.92,0.37,6.03,,
March,7.32,2.29,4.30,3.76,2.61,2.15,4.53,0.96,3.51,1.75,,
April,3.56,2.46,3.60,1.51,2.36,1.41,0.54,1.49,5.01,3.18,,
May,2.66,2.91,2.00,3.89,5.82,1.28,2.61,5.20,1.50,1.61,,
June,0.79,2.44,3.00,2.83,5.37,1.83,2.30,3.76,2.15,2.25,,
July,1.79,1.68,5.34,4.35,0.83,5.13,6.79,4.79,5.18,3.87,,
August,4.16,3.79,4.24,4.81,1.59,6.40,6.65,4.86,1.01,3.55,,
September,4.51,4.73,5.74,6.03,1.95,4.09,7.72,8.98,0.52,5.11,,
October,1.92,7.28,2.04,9.21,3.82,3.86,5.72,5.86,7.80,4.01,,
November,10.68,3.06,7.80,11.04,2.87,2.27,3.08,1.95,5.60,11.71,,
December,10.37,6.83,2.39,6.12,6.46,7.14,4.87,3.12,13.10,7.53,,
Total,58.68,46.65,44.32,62.31,40.92,42.52,57.57,55.13,52.60,58.88,,
Calc annual,58.68,46.65,44.32,62.31,40.92,42.52,57.57,55.13,52.60,58.88,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
