"ALTNAHEGLISH (GLACK BURN)",,,,,,,,,,,,
Grid ref,IC707040,Long,-6.899159,Lat,54.878888,,,,,,,
Station no,6244,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.14,7.25,1.70,4.69,4.28,5.68,6.60,4.70,3.65,6.63,,
February,4.63,3.09,2.59,6.71,4.38,2.11,4.95,6.90,1.67,6.35,,
March,3.63,2.75,1.31,4.47,1.47,3.19,3.57,2.75,5.98,3.05,,
April,3.15,2.16,2.74,1.38,3.43,1.70,1.47,2.20,5.22,5.19,,
May,2.96,1.78,3.52,6.40,4.15,2.16,2.16,3.70,1.53,3.25,,
June,3.58,3.25,3.35,4.30,5.37,4.96,1.57,6.76,3.53,3.42,,
July,4.45,3.15,5.90,4.63,1.21,5.95,7.51,7.54,4.53,7.73,,
August,7.41,5.30,4.68,4.05,1.52,5.54,5.10,5.10,2.40,5.40,,
September,4.16,3.60,4.21,7.97,4.72,5.38,6.75,6.65,1.33,3.55,,
October,2.15,7.33,3.42,6.28,4.83,4.17,4.29,4.88,6.39,8.49,,
November,10.07,4.26,4.67,7.50,3.51,3.63,2.03,2.39,9.35,5.57,,
December,6.20,5.52,4.49,6.56,6.98,6.55,7.72,8.08,10.30,5.20,,
Total,57.53,49.44,42.58,64.94,45.85,51.02,53.72,61.65,55.88,63.83,,
Calc annual,57.53,49.44,42.58,64.94,45.85,51.02,53.72,61.65,55.88,63.83,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
