"KINCRAIG (ARD INSH)",,,,,,,,,,,,
Grid ref,NH831057,Long,-3.932673,Lat,57.127304,,,,,,,
Station no,5698/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.01,4.32,2.49,2.86,,,
February,,,,,,2.70,2.59,2.00,1.00,,,
March,,,,,,1.82,2.78,1.42,1.27,,,
April,,,,,,1.61,0.89,1.34,1.89,,,
May,,,,,,1.51,0.75,2.73,2.17,,,
June,,,,,,4.00,2.02,1.01,2.09,,,
July,,,,,,3.82,3.43,4.26,2.04,,,
August,,,,,,5.15,3.68,4.28,1.11,,,
September,,,,,,3.88,2.15,3.20,,,,
October,,,,,4.35,3.17,2.36,2.74,,,,
November,,,,,0.58,2.04,2.14,0.80,,,,
December,,,,,6.06,4.64,3.54,3.03,,,,
Total,,,,,,37.35,30.65,29.30,,,,
Calc annual,0.00,0.00,0.00,0.00,10.99,37.35,30.65,29.30,14.43,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,,
