"TARMACHAN QUARRY",,,,,,,,,,,,
Grid ref,NN574377,Long,-4.318803,Lat,56.509678,,,,,,,
Station no,5556/5/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.37,8.64,,,,,
February,,,,,,2.41,3.00,,,,,
March,,,,,,3.37,6.01,,,,,
April,,,,,3.29,0.27,2.15,,,,,
May,,,,,3.41,3.45,2.15,,,,,
June,,,,,2.72,4.66,,,,,,
July,,,,,0.61,6.20,,,,,,
August,,,,,1.52,6.59,,,,,,
September,,,,,5.04,7.63,3.36,,,,,
October,,,,,4.76,3.93,5.20,,,,,
November,,,,,3.31,2.52,2.90,,,,,
December,,,,,7.92,7.44,7.20,,,,,
Total,,,,,,50.84,,,,,,
Calc annual,0.00,0.00,0.00,0.00,32.58,50.84,40.61,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
