"HISTON (IMPINGTON VILLAGE COLLEGE)",,,,,,,,,,,,
Grid ref,TL446630,Long,0.116596,Lat,52.246190,,,,,,,
Station no,1207/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.77,1.03,1.43,2.99,,,,,,
February,,,1.24,2.03,1.48,0.59,,,,,,
March,,,0.38,1.89,1.46,0.35,,,,,,
April,,,1.94,0.30,1.46,,,,,,,
May,,,1.55,3.59,2.65,,,,,,,
June,,,1.99,2.09,3.27,1.96,,,,,,
July,,,1.81,2.41,0.17,,,,,,,
August,,,1.94,3.44,1.30,,,,,,,
September,,,1.31,1.53,1.60,,,,,,,
October,,,2.57,1.80,3.58,1.63,,,,,,
November,,,1.04,3.24,1.09,,,,,,,
December,,2.31,0.53,1.63,1.61,,,,,,,
Total,,,17.07,24.98,20.10,,,,,,,
Calc annual,0.00,2.31,17.07,24.98,21.10,7.52,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,-1.00,NaN,NaN,NaN,NaN,NaN,,
