"DORCHESTER (STINSFORD)",,,,,,,,,,,,
Grid ref,SY711912,Long,-2.410751,Lat,50.719701,,,,,,,
Station no,1578,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.19,2.80,0.95,2.16,4.26,5.46,4.83,4.23,6.56,,,
February,6.03,0.80,2.40,4.00,2.47,0.23,4.97,3.63,0.38,,,
March,4.34,3.56,0.77,4.85,1.78,0.80,3.61,1.80,4.28,,,
April,2.47,2.26,2.78,0.11,0.87,1.56,0.36,0.62,2.88,,,
May,2.74,3.07,3.08,3.81,6.46,0.83,3.22,3.01,1.75,,,
June,0.50,1.08,3.32,3.09,3.24,2.65,2.63,3.20,1.19,,,
July,1.49,0.98,3.77,2.92,5.16,3.48,5.03,3.15,1.29,,,
August,6.68,4.51,2.26,3.18,0.64,4.80,3.90,2.94,2.32,,,
September,4.96,4.13,4.03,4.41,1.64,6.76,4.08,5.59,0.11,,,
October,1.13,5.16,4.30,4.09,4.02,2.32,3.42,3.79,4.09,,,
November,10.23,3.79,2.34,7.67,4.30,1.04,2.75,3.43,4.80,,,
December,3.36,3.69,1.13,3.69,6.18,6.76,3.21,5.87,11.13,,,
Total,48.12,35.83,31.13,43.98,40.02,36.69,42.01,41.26,40.78,,,
Calc annual,48.12,35.83,31.13,43.98,41.02,36.69,42.01,41.26,40.78,0.00,,
Difference,-0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,NaN,,
