"BELFAST (QUEEN'S UNIVERSITY)",,,,,,,,,,,,
Grid ref,IJ333572,Long,-5.945625,Lat,54.445954,,,,,,,
Station no,6213,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,3.86,1.32,2.52,4.42,3.54,,,,,,
February,3.27,0.75,1.02,3.63,3.25,1.17,,,,,,
March,2.47,1.08,0.36,2.99,1.48,1.78,,,,,,
April,1.44,1.85,1.55,0.50,2.57,1.42,,,,,,
May,2.91,1.37,1.96,3.15,2.22,1.15,,,,,,
June,1.56,2.80,1.28,2.48,4.55,2.54,,,,,,
July,3.17,1.41,5.29,4.10,1.41,,,,,,,
August,3.67,6.08,3.30,3.10,1.39,,,,,,,
September,2.35,1.54,2.40,4.31,2.97,,,,,,,
October,0.59,3.64,2.28,5.40,2.65,,,,,,,
November,7.15,2.92,3.97,6.82,2.85,,,,,,,
December,4.87,4.11,3.27,4.71,6.04,,,,,,,
Total,36.52,31.41,28.00,43.71,35.80,,,,,,,
Calc annual,36.52,31.41,28.00,43.71,35.80,11.60,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
