"TARBERT (ACHAGLACHGACH)",,,,,,,,,,,,
Grid ref,NR813643,Long,-5.492878,Lat,55.822262,,,,,,,
Station no,5416/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.80,5.78,,
February,,,,,,,,,2.18,4.94,,
March,,,,,,,,,4.32,2.74,,
April,,,,,,,,,4.51,4.87,,
May,,,,,,,,,1.88,3.29,,
June,,,,,,,,,3.50,2.77,,
July,,,,,,,,-999.00,8.57,5.01,,
August,,,,,,,,5.34,1.52,3.57,,
September,,,,,,,,4.53,2.45,4.00,,
October,,,,,,,,6.21,7.60,5.63,,
November,,,,,,,,3.27,5.77,7.24,,
December,,,,,,,,8.53,11.20,8.88,,
Total,,,,,,,,-999.00,55.30,68.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.88,55.30,58.72,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1026.88,0.00,10.00,,
