"ROSTREVOR (BAYMONT)",,,,,,,,,,,,
Grid ref,IJ070192,Long,-6.364469,Lat,54.110888,,,,,,,
Station no,6194/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.69,3.97,3.74,,,,,,
February,,,,5.12,4.75,0.98,,,,,,
March,,,,3.90,1.89,2.43,,,,,,
April,,,,0.48,2.64,1.76,,,,,,
May,,,,5.19,3.02,1.04,,,,,,
June,,,,2.27,4.34,3.50,,,,,,
July,,,,3.61,2.21,4.05,,,,,,
August,,,,3.49,1.74,5.96,,,,,,
September,,,,4.82,2.17,3.95,,,,,,
October,,,,7.24,1.67,2.43,,,,,,
November,,,,7.27,2.17,,,,,,,
December,,,,5.19,4.13,,,,,,,
Total,,,,50.27,34.70,,,,,,,
Calc annual,0.00,0.00,0.00,50.27,34.70,29.84,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
