"MILNGAVIE (EASTERTOWN)",,,,,,,,,,,,
Grid ref,NS566766,Long,-4.298686,Lat,55.960940,,,,,,,
Station no,5379,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.11,5.10,2.79,,,,,,,,,
February,3.01,2.37,2.21,,,,,,,,,
March,4.37,3.88,1.48,,,,,,,,,
April,2.70,2.32,2.24,,,,,,,,,
May,1.58,2.30,2.40,,,,,,,,,
June,2.83,3.53,1.87,,,,,,,,,
July,5.09,3.13,6.43,,,,,,,,,
August,5.26,4.20,4.43,,,,,,,,,
September,4.39,3.13,5.46,,,,,,,,,
October,1.25,5.27,3.05,,,,,,,,,
November,6.52,2.05,7.67,,,,,,,,,
December,7.01,4.73,5.47,,,,,,,,,
Total,50.12,42.01,45.50,,,,,,,,,
Calc annual,50.12,42.01,45.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
