"SWANSEA W.W. (CRAY RESERVOIR) NO. 2 (NEW)",,,,,,,,,,,,
Grid ref,SN880209,Long,-3.628347,Lat,51.875387,,,,,,,
Station no,4188/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,5.30,9.05,12.13,18.95,9.15,9.85,11.45,,
February,,,,11.45,4.13,1.15,12.55,13.15,1.15,11.15,,
March,,,,8.00,5.85,5.15,11.35,2.25,9.35,4.25,,
April,,,,2.45,7.85,3.15,1.25,2.65,7.95,7.35,,
May,,,5.50,7.15,9.15,3.45,5.45,8.55,2.65,2.95,,
June,,,3.25,8.32,10.15,6.35,2.30,5.25,6.65,4.35,,
July,,,9.00,8.15,1.75,6.65,8.35,6.75,7.35,9.95,,
August,,,6.00,10.35,2.65,10.15,7.85,5.85,1.75,6.95,,
September,,,8.75,11.45,4.75,9.45,15.15,14.65,0.65,7.45,,
October,,,7.55,21.70,5.25,5.15,9.35,8.25,10.35,11.25,,
November,,,10.00,20.05,6.75,2.75,4.85,4.55,14.85,19.35,,
December,,,3.00,13.15,13.65,11.15,8.55,8.75,17.93,11.85,,
Total,,,,127.52,80.98,76.68,105.95,89.80,90.48,108.30,,
Calc annual,0.00,0.00,53.05,127.52,80.98,76.68,105.95,89.80,90.48,108.30,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
