"GLENLEVEN (BLACKWATER DAM. N.)",,,,,,,,,,,,
Grid ref,NN248607,Long,-4.863453,Lat,56.705039,,,,,,,
Station no,5743,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.89,6.17,8.83,6.96,5.05,5.89,16.12,,,,,
February,5.38,5.44,7.80,5.65,5.16,5.81,6.28,,,,,
March,4.73,7.31,3.92,5.89,1.61,4.70,7.10,,,,,
April,9.00,4.88,5.66,3.47,4.37,3.71,3.21,,,,,
May,1.11,3.38,6.33,4.78,5.12,8.22,1.91,,,,,
June,3.26,6.24,3.09,4.96,4.28,4.59,3.49,,,,,
July,6.21,4.70,9.02,3.75,1.14,6.94,7.62,,,,,
August,7.38,5.73,5.86,6.17,2.80,6.07,8.06,,,,,
September,8.25,7.07,10.93,10.49,8.98,9.53,5.27,,,,,
October,3.83,12.52,6.77,16.07,8.29,8.22,11.27,,,,,
November,12.26,4.72,19.14,15.30,4.06,7.45,3.00,,,,,
December,16.63,8.96,10.83,17.53,15.05,18.18,14.20,,,,,
Total,88.93,77.12,98.18,101.02,65.91,89.31,87.53,,,,,
Calc annual,88.93,77.12,98.18,101.02,65.91,89.31,87.53,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
