"HEADCORN (GREAT TONG)",,,,,,,,,,,,
Grid ref,TQ831465,Long,0.618754,Lat,51.188393,,,,,,,
Station no,346/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,2.23,0.92,1.71,3.26,4.26,2.30,2.51,2.07,2.46,,
February,5.80,0.64,1.16,1.81,1.76,0.97,3.88,2.34,0.08,1.78,,
March,3.17,3.23,0.29,2.28,1.50,0.55,0.83,1.42,1.90,1.51,,
April,1.96,0.65,1.50,0.19,0.26,1.00,0.39,1.35,2.02,0.77,,
May,1.93,0.85,1.15,1.43,3.63,0.35,1.28,2.01,0.46,2.25,,
June,1.39,1.07,2.06,3.11,2.17,2.12,1.09,4.30,1.05,1.19,,
July,1.73,0.67,2.72,2.36,0.31,2.48,3.83,1.23,2.29,2.39,,
August,3.05,3.14,1.59,2.87,3.99,2.55,1.73,4.13,0.58,4.52,,
September,3.14,3.68,3.58,1.47,1.93,2.83,2.95,3.08,0.14,3.67,,
October,1.13,2.66,2.53,2.12,5.82,1.31,0.91,3.93,2.50,6.12,,
November,4.16,3.83,1.43,5.63,0.78,0.94,3.11,1.67,3.78,5.32,,
December,2.82,2.38,0.74,1.46,1.99,3.27,1.83,3.57,5.02,3.39,,
Total,33.05,25.03,19.67,26.44,27.40,22.63,24.13,31.54,21.89,35.37,,
Calc annual,33.05,25.03,19.67,26.44,27.40,22.63,24.13,31.54,21.89,35.37,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
