"HORNCASTLE",,,,,,,,,,,,
Grid ref,TF251695,Long,-0.128318,Lat,53.207854,,,,,,,
Station no,2555,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.86,1.04,1.45,1.60,4.56,1.47,2.18,2.98,4.66,,
February,3.08,0.81,2.14,2.62,3.17,1.48,1.81,3.50,0.20,2.25,,
March,3.37,3.26,0.83,1.81,2.26,0.87,1.39,2.08,2.00,1.36,,
April,2.02,1.22,2.84,0.32,1.04,1.04,0.27,0.84,1.58,0.89,,
May,3.70,1.20,2.46,2.83,2.98,0.62,1.63,2.87,0.35,0.61,,
June,0.91,2.03,2.89,1.75,3.24,2.84,1.81,3.93,0.91,0.29,,
July,0.99,0.40,1.70,2.08,0.62,3.48,3.12,4.90,2.11,2.97,,
August,4.61,3.57,2.82,4.10,0.59,3.96,3.18,1.73,1.27,3.08,,
September,1.14,2.99,0.79,1.87,1.06,1.43,3.79,2.10,0.16,2.27,,
October,1.64,2.35,2.71,3.36,1.34,1.10,1.49,1.83,1.67,12.26,,
November,4.10,2.76,1.54,4.01,1.05,1.07,1.92,0.82,2.07,3.19,,
December,1.51,1.96,0.92,2.35,1.67,1.24,1.70,2.86,3.49,3.70,,
Total,29.62,24.41,22.68,28.55,20.62,23.69,23.58,29.64,18.79,37.53,,
Calc annual,29.62,24.41,22.68,28.55,20.62,23.69,23.58,29.64,18.79,37.53,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
